entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,1.381118077,NA,NA,5.7e-05,0.001218888,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-1.007032715,NA,NA,0.003381017,0.014145706,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.098647206,NA,NA,0.773910246,0.880406951,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.017321569,NA,NA,0.959754987,0.992149779,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.139267796,NA,NA,0.685560457,1,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,2.271736918,NA,NA,4.37e-14,1.87e-12,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,1.781832319,NA,NA,2.84e-09,4.62e-08,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.019501051,NA,NA,0.948557207,1,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,1.600935382,NA,NA,1.13e-07,5.53e-06,NA,NA,NA
100861532,RNA45S5,NA,rRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.676589868,NA,NA,0.000359569,0.000778218,NA,NA,NA
